"apt_nm","sgg_cd","umd_cd","land_cd","bonbun","bubun","road_nm","road_nm_sgg_cd","road_nm_cd","road_nm_seq","road_nmb_cd","road_nm_bonbun","road_nm_bubun","umd_nm","jibun","exclu_use_ar","deal_year","deal_month","deal_day","deal_amount","floor","build_year","apt_seq","cdeal_type","cdeal_day","dealing_gbn","estate_agent_sgg_nm","rgst_date","apt_dong","sler_gbn","buyer_gbn","land_leasehold_gbn"
경남2차,"30170","10300","1","0211","0000",배재로,"30170","3166028","02","0","00155","00007",,"211","84.75","2024","11","29","16,000","5","1986","30170-5", , ,중개거래,대전 서구,"25.01.10","103",,개인,N
국화동성,"30170","11200","1","1809","0000",둔산로,"30170","3166019","01","0","00201","00000",,"1809","84.35","2024","11","20","39,500","1","1991","30170-44", , ,중개거래,대전 서구, , ,,개인,N
영진햇님,"30170","11200","1","1383","0000",둔산북로,"30170","3166020","01","0","00175","00000",,"1383","127.56","2024","11","4","114,000","10","1993","30170-82", , ,중개거래,대전 서구,"24.12.13","7",,개인,N
둥지,"30170","11200","1","0912","0000",청사로,"30170","3166051","01","0","00254","00000",,"912","70.55","2024","11","30","37,000","5","1994","30170-79", , ,중개거래,대전 서구, , ,,개인,N
원앙마을4,"30170","11600","1","0999","0000",관저북로,"30170","3166009","01","0","00014","00000",,"999","49.59","2024","11","16","14,000","8","1997","30170-118", , ,중개거래,대전 서구,"25.01.09","410",,개인,N
파랑새,"30170","11200","1","0957","0000",둔지로,"30170","3166023","01","0","00075","00000",,"957","84.95","2024","11","30","42,000","4","1995","30170-86", , ,중개거래,대전 서구, , ,,개인,N
초원,"30170","12800","1","0001","0001",만년로,"30170","3166025","01","0","00045","00000",,"1-1","59.89","2024","11","15","21,050","8","1993","30170-123", , ,직거래, , , ,,개인,N
중흥S-클래스프라디움,"30170","11600","1","1566","0000",관저남로12번길,"30170","4709119","01","0","00012","00000",,"1566","47.5144","2024","11","23","24,000","9","2016","30170-1117", , ,중개거래,대전 서구, , ,,개인,N
초원,"30170","12800","1","0001","0001",만년로,"30170","3166025","01","0","00045","00000",,"1-1","59.89","2024","11","15","29,000","6","1993","30170-123", , ,중개거래,대전 서구, , ,,개인,N
가람,"30170","11200","1","1805","0000",둔산북로,"30170","3166020","01","0","00215","00000",,"1805","137.31","2024","11","14","84,500","10","1991","30170-43", , ,중개거래,대전 서구, , ,,개인,N
